Results for Tensor multicontext_first.pt:
  Token: arc, Probability: 0.0459
  Token: axe, Probability: 0.0011
  Token: .Global, Probability: 0.0010
  Token: 磁, Probability: 0.0010
  Token:  Magnetic, Probability: 0.0010
  Token:  Pitch, Probability: 0.0010
  Token:  Writer, Probability: 0.0010
  Token:  Glob, Probability: 0.0010
  Token:  Sur, Probability: 0.0010
  Token:  đổ, Probability: 0.0010
  Token:  Scott, Probability: 0.0009
  Token: 么, Probability: 0.0009
  Token:  brace, Probability: 0.0009
  Token: .processor, Probability: 0.0009
  Token: .Dev, Probability: 0.0009
  Token: (code, Probability: 0.0009
  Token: _sdk, Probability: 0.0008
  Token:  rubber, Probability: 0.0008
  Token: udder, Probability: 0.0008
  Token: dater, Probability: 0.0008
  Token: abol, Probability: 0.0008
  Token:  grav, Probability: 0.0008
  Token:  Telegram, Probability: 0.0008
  Token: .blank, Probability: 0.0008
  Token:  PR, Probability: 0.0008
  Token:  olsa, Probability: 0.0007
  Token:  overwritten, Probability: 0.0007
  Token:  Cs, Probability: 0.0007
  Token:  hookup, Probability: 0.0007
  Token: ASC, Probability: 0.0007
  Token: .pitch, Probability: 0.0007
  Token:  Česk, Probability: 0.0007
  Token: -independent, Probability: 0.0007
  Token: streams, Probability: 0.0007
  Token: elif, Probability: 0.0007
  Token: isky, Probability: 0.0007
  Token: Issuer, Probability: 0.0007
  Token: dera, Probability: 0.0006
  Token:  á, Probability: 0.0006
  Token:  Brit, Probability: 0.0006
  Token: ok, Probability: 0.0006
  Token: نگی, Probability: 0.0006
  Token: ede, Probability: 0.0006
  Token: imming, Probability: 0.0006
  Token: cess, Probability: 0.0006
  Token:  jo, Probability: 0.0006
  Token: etooth, Probability: 0.0006
  Token: ift, Probability: 0.0006
  Token: -sur, Probability: 0.0006
  Token:  glob, Probability: 0.0006

Results for Tensor mistral_7b_layer12.pt:
  Token: raf, Probability: 0.0095
  Token: curs, Probability: 0.0035
  Token: esta, Probability: 0.0034
  Token: 峰, Probability: 0.0031
  Token: ток, Probability: 0.0027
  Token: wal, Probability: 0.0024
  Token: erd, Probability: 0.0022
  Token: ota, Probability: 0.0020
  Token: arte, Probability: 0.0020
  Token: zi, Probability: 0.0018
  Token: oco, Probability: 0.0015
  Token: SEL, Probability: 0.0013
  Token: ot, Probability: 0.0013
  Token: INTE, Probability: 0.0013
  Token: oche, Probability: 0.0012
  Token: зи, Probability: 0.0012
  Token: rais, Probability: 0.0012
  Token: arium, Probability: 0.0012
  Token: usz, Probability: 0.0012
  Token: EOF, Probability: 0.0012
  Token: ób, Probability: 0.0011
  Token: oti, Probability: 0.0011
  Token: inde, Probability: 0.0011
  Token: neur, Probability: 0.0011
  Token: rente, Probability: 0.0011
  Token: ℓ, Probability: 0.0010
  Token: Sic, Probability: 0.0010
  Token: cel, Probability: 0.0010
  Token: aki, Probability: 0.0010
  Token: Autow, Probability: 0.0010
  Token: uld, Probability: 0.0010
  Token: zk, Probability: 0.0010
  Token: Liv, Probability: 0.0010
  Token: Graf, Probability: 0.0010
  Token: ête, Probability: 0.0009
  Token: uti, Probability: 0.0009
  Token: wip, Probability: 0.0009
  Token: crushing, Probability: 0.0009
  Token: bery, Probability: 0.0009
  Token: geldig, Probability: 0.0009
  Token: руд, Probability: 0.0009
  Token: fic, Probability: 0.0009
  Token: jer, Probability: 0.0009
  Token: tocol, Probability: 0.0009
  Token: ante, Probability: 0.0008
  Token: flush, Probability: 0.0008
  Token: DOWN, Probability: 0.0008
  Token: goodness, Probability: 0.0008
  Token: likewise, Probability: 0.0008
  Token: ston, Probability: 0.0008
  Token: DOM, Probability: 0.0008
  Token: omer, Probability: 0.0008
  Token: տ, Probability: 0.0008
  Token: пе, Probability: 0.0008
  Token: otal, Probability: 0.0008
  Token: sto, Probability: 0.0008
  Token: ograf, Probability: 0.0008
  Token: LAB, Probability: 0.0008
  Token: oby, Probability: 0.0008
  Token: etes, Probability: 0.0008
  Token: 虎, Probability: 0.0007
  Token: arry, Probability: 0.0007
  Token: FFER, Probability: 0.0007
  Token: iture, Probability: 0.0007
  Token: uren, Probability: 0.0007
  Token: anj, Probability: 0.0007
  Token: NL, Probability: 0.0007
  Token: rai, Probability: 0.0007
  Token: eras, Probability: 0.0007
  Token: isz, Probability: 0.0007
  Token: aute, Probability: 0.0007
  Token: abul, Probability: 0.0007
  Token: auch, Probability: 0.0007
  Token: Turk, Probability: 0.0007
  Token: ELD, Probability: 0.0007
  Token: tober, Probability: 0.0007
  Token: avid, Probability: 0.0007
  Token: 楽, Probability: 0.0007
  Token: zz, Probability: 0.0007
  Token: vl, Probability: 0.0007
  Token: unwrap, Probability: 0.0007
  Token: sull, Probability: 0.0007
  Token: FL, Probability: 0.0007
  Token: Lebens, Probability: 0.0007
  Token: っ, Probability: 0.0007
  Token: cury, Probability: 0.0007
  Token: ipedia, Probability: 0.0006
  Token: nier, Probability: 0.0006
  Token: LOB, Probability: 0.0006
  Token: uros, Probability: 0.0006
  Token: Saud, Probability: 0.0006
  Token: jär, Probability: 0.0006
  Token: chip, Probability: 0.0006
  Token: graph, Probability: 0.0006
  Token: zu, Probability: 0.0006
  Token: kre, Probability: 0.0006
  Token: 🟠, Probability: 0.0006
  Token: rier, Probability: 0.0006
  Token: tom, Probability: 0.0006
  Token: riter, Probability: 0.0006
